date,sm5,sm10,sm20,sm40,st5,st10,st20,st40,nodes,obs48
2020-09-26,0.2703852,0.3039251,0.2682962,0.2303602,15.50875,15.47521,15.25458,15.11271,10,48
2020-09-27,0.2653362,0.3014835,0.2673184,0.2296252,15.61083,15.52292,15.31229,15.22292,10,48
2020-09-28,0.2621092,0.2995846,0.2666506,0.2290335,15.68771,15.83938,15.69292,15.40771,10,48
2020-09-29,0.2612968,0.2973189,0.2649631,0.2278757,12.83354,13.66333,14.48438,15.17979,10,48
2020-09-30,0.2561628,0.2946315,0.2632401,0.2261478,11.70083,12.37021,13.21875,14.45833,10,48
2020-10-01,0.2519045,0.29183,0.2617337,0.224684,10.75792,11.45458,12.38667,13.83708,10,48
2020-10-02,0.2576514,0.2937595,0.2614888,0.2235601,12.13542,12.35583,12.56729,13.38979,10,48
2020-10-03,0.2523228,0.2916606,0.2606364,0.222753,10.92708,11.47646,12.13646,13.20083,10,48
2020-10-04,0.258328,0.2908926,0.2596019,0.2217721,9.67771,10.54417,11.53188,12.87729,10,48
2020-10-05,0.2676643,0.2953782,0.259434,0.2206973,9.37042,9.96271,10.78833,12.29292,10,48
2020-10-06,0.2624997,0.2940427,0.2590614,0.2199975,9.04125,9.67625,10.4475,11.85917,10,48
2020-10-07,0.2574029,0.2916853,0.2581728,0.2192408,8.31958,8.91313,9.79021,11.42917,10,48
2020-10-08,0.2543546,0.2906192,0.2577478,0.2186054,9.08625,9.30833,9.77729,11.11563,10,48
2020-10-09,0.2530943,0.2906604,0.25804,0.2184603,11.11542,10.96521,10.76687,11.24146,10,48
2020-10-10,0.2512567,0.2903649,0.2582945,0.2185828,12.4,12.12583,11.67104,11.63229,10,48
2020-10-11,0.2509373,0.2885617,0.2577374,0.2187113,10.26396,11.12896,11.71438,12.03979,10,48
2020-10-12,0.2508188,0.2864268,0.2556303,0.2174596,6.87375,8.04667,9.555,11.415,10,48
2020-10-13,0.2472837,0.2845898,0.2545153,0.2161561,5.76396,6.93583,8.42333,10.54646,10,48
2020-10-14,0.2443225,0.2828121,0.2532585,0.2149779,4.155,5.42875,7.14938,9.67229,10,48
2020-10-15,0.2419595,0.2820207,0.2524063,0.2139008,4.49896,5.25292,6.44333,8.85417,10,48
2020-10-16,0.2417489,0.2818852,0.2522283,0.213279,5.17437,5.77896,6.64688,8.51083,10,48
2020-10-17,0.2405953,0.2818729,0.2520893,0.2129095,6.20625,6.46479,6.91625,8.38688,10,48
2020-10-18,0.2384893,0.2804833,0.2518069,0.2127358,5.68875,6.39229,7.14458,8.46625,10,48
2020-10-19,0.2381363,0.2798661,0.251311,0.2123511,6.42292,6.65146,7.04604,8.34521,10,48
2020-10-20,0.2391338,0.2810405,0.2517836,0.2122968,8.715,8.34333,8.00167,8.525,10,48
2020-10-21,0.245782,0.2826712,0.2528059,0.2128311,9.24833,9.52062,9.37271,9.21396,10,48
2020-10-22,0.243563,0.2800932,0.2511163,0.2123289,5.22792,6.35938,7.65938,9.13521,10,48
2020-10-23,0.2380418,0.2778555,0.2496907,0.2110379,3.13958,4.35187,5.99938,8.30104,10,48
2020-10-24,0.2369591,0.2772583,0.2488477,0.2097829,3.02875,3.83146,5.09604,7.42813,10,48
2020-10-25,0.2381566,0.2774524,0.2485957,0.2091492,3.63062,4.18854,5.06083,6.96604,10,48
2020-10-26,0.2383875,0.2774479,0.2483915,0.2087386,4.22208,4.55667,5.18854,6.80708,10,48
