setting,threshold,TP,FP,TN,FN,precision,recall
high_recall,0.0,61,23,0,0,0.7261904761818311,0.9999999999836067
balanced,8.657186742728312e-167,34,11,12,27,0.7555555555387655,0.5573770491711906
low_fpr,7.306109679127148e-10,0,1,22,61,0.0,0.0
