exp,model,AUC_test,PR_AUC_test,Brier_test,delta_AUC_vs_base
impute_KNN,Logistic,0.7106200997861724,0.8409382634308951,0.2201873653380762,0.28862009978617237
impute_KNN,XGBoost,0.6749821810406272,0.8138317806131276,0.1990758345164044,-0.00281781895937272
drop_Copper,Logistic,0.6749821810406271,0.7856434301737963,0.23192587043541876,0.25298218104062714
drop_Copper,XGBoost,0.676407697790449,0.8235933829321491,0.18819245600988357,-0.0013923022095509996
add_derived,Logistic,0.6678545972915182,0.8007379690452233,0.22994170232782735,0.2458545972915182
add_derived,XGBoost,0.6749821810406272,0.8231996609229012,0.1939812523065327,-0.00281781895937272
log1p_heavy(Logistic),Logistic_log_vs_base,0.66,0.7891,0.2237,0.23800000000000004
